feature,unique_values_count,top_category,top_category_frequency,top_category_percentage
GERP++RS,4748,5.65,2140,0.5783893208790436
polyphen2_HVAR_score,102748,0.001,3588,0.9697480763149573
polyphen2_HDIV_score,86104,1,12147,3.2830350844475436
sift_score,123943,0,8149,2.2024741008613677
metaSVM_score,24542,-1.0191,104,0.028108639893187168
alphamissense_score,209372,0.0758,91,0.024595059906538774
metaRNN_score,261734,"0.43341818,0.43341818,0.43341818,0.43341818,0.43341818,0.43341818,0.43341818,0.43341818,0.43341818",16,0.00432440613741341
metaLR_score,10776,0.0654,121,0.03270332141418892
CADD_phred,10197,32,7581,2.048957682983192
varity_r_score,261017,0,282,0.07621765817191135
gnomad_ex_AF,6424,0.00000159,22896,6.188225182638591
gnomad_ge_AF,3694,0,155843,42.120526604557384
ExAC_AF,2936,0,183126,49.49444989499801
allele_AF,7156,0.00000159,22896,6.188225182638591
