,GERP++RS,polyphen2_HVAR_score,polyphen2_HDIV_score,sift_score,metaSVM_score,alphamissense_pred,alphamissense_score,metaRNN_score,metaLR_score,CADD_phred,varity_r_score,AF_avg
GERP++RS,1.0,0.24557401686267294,0.27603891619460186,-0.19631873665906285,0.150128972749737,0.1732119595060669,0.15459348280546495,0.24570698579142336,0.15813214037307696,0.6185028736774908,0.18672996498897176,0.029541816155291556
polyphen2_HVAR_score,0.24557401686267294,1.0,0.7833742175496241,-0.27202890837434845,0.36705655059905623,0.4593228264185599,0.43733820758794134,0.6080947285421503,0.3529875980348443,0.29082288213740026,0.4719099162391822,0.011591602341430855
polyphen2_HDIV_score,0.27603891619460186,0.7833742175496241,1.0,-0.31563017270063287,0.32020928111151137,0.40619437072219555,0.37806894427139853,0.5462108602693135,0.31275695051201896,0.33366825962815067,0.4038433153707255,-0.010586746019340329
sift_score,-0.19631873665906285,-0.27202890837434845,-0.31563017270063287,1.0,-0.1508308539117096,-0.18222225025334324,-0.16775632781270497,-0.24861953651827723,-0.16692986909738056,-0.27821783859840277,-0.20002884531604143,-0.012638115215984215
metaSVM_score,0.150128972749737,0.36705655059905623,0.32020928111151137,-0.1508308539117096,1.0,0.3281802344526884,0.3317561392742519,0.45165353656763657,0.6168931188417114,0.15453497152526965,0.38644559127920025,0.03008311663415058
alphamissense_pred,0.1732119595060669,0.4593228264185599,0.40619437072219555,-0.18222225025334324,0.3281802344526884,1.0,0.8585892245785831,0.5340113012675687,0.26982247423875555,0.20218086471075647,0.5514355821603386,0.10074957180398918
alphamissense_score,0.15459348280546495,0.43733820758794134,0.37806894427139853,-0.16775632781270497,0.3317561392742519,0.8585892245785831,1.0,0.5206934642884434,0.27292557062065903,0.17928491101257896,0.5489413796392641,0.10545670431280905
metaRNN_score,0.24570698579142336,0.6080947285421503,0.5462108602693135,-0.24861953651827723,0.45165353656763657,0.5340113012675687,0.5206934642884434,1.0,0.4295697847363812,0.26791192989018164,0.5919930880513387,0.08764542259476722
metaLR_score,0.15813214037307696,0.3529875980348443,0.31275695051201896,-0.16692986909738056,0.6168931188417114,0.26982247423875555,0.27292557062065903,0.4295697847363812,1.0,0.1798844641340998,0.32209468079664794,0.02867535536027549
CADD_phred,0.6185028736774908,0.29082288213740026,0.33366825962815067,-0.27821783859840277,0.15453497152526965,0.20218086471075647,0.17928491101257896,0.26791192989018164,0.1798844641340998,1.0,0.20803390456536963,0.02596886069016199
varity_r_score,0.18672996498897176,0.4719099162391822,0.4038433153707255,-0.20002884531604143,0.38644559127920025,0.5514355821603386,0.5489413796392641,0.5919930880513387,0.32209468079664794,0.20803390456536963,1.0,0.07522356672906545
AF_avg,0.029541816155291556,0.011591602341430855,-0.010586746019340329,-0.012638115215984215,0.03008311663415058,0.10074957180398918,0.10545670431280905,0.08764542259476722,0.02867535536027549,0.02596886069016199,0.07522356672906545,1.0
