feature,mean,std,median,min,max,Q1,Q3,IQR,skewness,variance,near_zero_variance
GERP++RS,0.884107674914803,0.3200961915695792,1.0,0.0,1.0,1.0,1.0,0.0,-2.3999645592035193,0.10246157185734875,False
polyphen2_HVAR_score,0.4522395221918878,0.4977143843185367,0.0,0.0,1.0,0.0,1.0,1.0,0.19192025902107773,0.24771960835758008,False
polyphen2_HDIV_score,0.5676384231030959,0.4954045913181724,1.0,0.0,1.0,0.0,1.0,1.0,-0.27306484858011826,0.24542570909912542,False
sift_score,0.1072655354058956,0.3094509653188011,0.0,0.0,1.0,0.0,0.0,0.0,2.5382799740373247,0.09575989993673785,False
metaSVM_score,0.1965481996795454,0.3973882648187736,0.0,0.0,1.0,0.0,0.0,0.0,1.5272390887404186,0.15791743301567573,False
alphamissense_pred,0.29053194921526576,0.3948211741966145,0.0,0.0,1.0,0.0,0.5,0.5,0.8900949584170363,0.1558837595939934,False
alphamissense_score,0.23756205080100096,0.4255899597935595,0.0,0.0,1.0,0.0,0.0,0.0,1.2332968208955166,0.1811268138770836,False
metaRNN_score,0.4019563455162112,0.49029388486587583,0.0,0.0,1.0,0.0,1.0,1.0,0.39994048112624175,0.2403880935368727,False
metaLR_score,0.3912474142675498,0.4880302457982896,0.0,0.0,1.0,0.0,1.0,1.0,0.4456821123484903,0.23817352081393892,False
CADD_phred,0.8973298161046059,0.3035280333147953,1.0,0.0,1.0,1.0,1.0,0.0,-2.6180907654304666,0.09212926700794746,False
varity_r_score,0.286373088320216,0.45206647372053876,0.0,0.0,1.0,0.0,1.0,1.0,0.9451179525217186,0.20436409666212257,False
AF_avg,0.4595703956340094,0.4983634421199269,0.0,0.0,1.0,0.0,1.0,1.0,0.16225035855104541,0.24836612044162173,False
